"","feature","variable","level","estimate","std.error","p.value","q.value","method"
"110","Tn916.orf14","PAT_AGE","PAT_AGE",-0.0599142566624254,0.0428223270976777,0.16177222352833,0.422648151560502,"CPLM"
"111","Tn916.orf9","OUT_GROUP","C",0.144559307554773,0.103235550308628,0.161427657417119,0.422648151560502,"CPLM"
"112","Tn916.orf17","PAT_AGE","PAT_AGE",-0.0603461871570646,0.0434207581895941,0.164589496221522,0.426169231287868,"CPLM"
"113","Tn916.orf5","OUT_GROUP","C",0.147385705040463,0.107422293477455,0.170056719332011,0.436428748728169,"CPLM"
"114","Col156","CERCLAGE","Yes",1.33317155755512,0.976117412620677,0.172004835647916,0.437556160858734,"CPLM"
"115","Int.Tn916","BIL_INC_ATB","Yes",0.131708501280193,0.0979109678416913,0.178565050540805,0.450294475276813,"CPLM"
"116","Col156","BIL_INC_ATB","Yes",0.735945246934012,0.553179194905616,0.183389106486328,0.451401173403689,"CPLM"
"117","IS621","OUT_GROUP","B",0.59477352661675,0.446432432738049,0.182767810302185,0.451401173403689,"CPLM"
"118","Tn916.orf15","PAT_AGE","PAT_AGE",-0.0570983526095722,0.0429463084543428,0.183673580902191,0.451401173403689,"CPLM"
"119","rep6","DIABET_GESTA","Yes",0.428044948221778,0.327893323269832,0.191743181300884,0.467273298968541,"CPLM"
"120","Int.Tn916","OUT_GROUP","B",-0.176008719793015,0.136199204891283,0.196257116772167,0.474288032199402,"CPLM"
"121","IncFII","IMC","IMC",0.26847545593424,0.209847199111008,0.20076135052669,0.481163567378016,"CPLM"
"122","Xis.Tn916","OUT_GROUP","C",0.139364334027029,0.109344385466431,0.202470353891152,0.481281988757657,"CPLM"
"123","Tn916.orf8","OUT_GROUP","C",0.129850043272604,0.104123738088607,0.212370236024761,0.500710312578706,"CPLM"
"124","Col156","IMC","IMC",0.317568697534699,0.255746871845635,0.21433600342511,0.501269685429692,"CPLM"
"125","Col156","OUT_GROUP","D",0.857125296112041,0.698900761639358,0.220051736905813,0.505391562590538,"CPLM"
"126","rep6","CERCLAGE","Yes",-1.76421451257101,1.43779423727219,0.219811877633742,0.505391562590538,"CPLM"
"127","tnpA4","PAT_AGE","PAT_AGE",0.163881717262535,0.133998885070726,0.221326649824132,0.505391562590538,"CPLM"
"128","rep20","PAT_AGE","PAT_AGE",-0.29265846683717,0.241668846844907,0.225899380019729,0.511803282857199,"CPLM"
"129","Tn916.orf18","BIL_INC_ATB","Yes",0.117385974612172,0.0977607538309845,0.229849186886622,0.516715226334266,"CPLM"
"130","Col156","DIABET_GESTA","Yes",-0.884916060044852,0.762733962233451,0.245971593906768,0.548705863330483,"CPLM"
"131","Tn916.orf9","BIL_INC_ATB","Yes",0.106372030796285,0.0927678218912643,0.251527159404289,0.556815849062929,"CPLM"
"132","IS91","PAT_AGE","PAT_AGE",0.0869146511139813,0.0779625264701804,0.264924994796911,0.577656003692512,"CPLM"
"133","Tn916.orf13","BIL_INC_ATB","Yes",0.106572534057843,0.0955500517071232,0.264696952678018,0.577656003692512,"CPLM"
"134","rep6","IMC","IMC",0.150264293050253,0.135363910286155,0.266966071401521,0.577762393331649,"CPLM"
"135","Tn916.orf5","HTA_PRE_ECLAM","Yes",0.215624117142026,0.199741133473098,0.280356944911331,0.602248252031748,"CPLM"
"136","rep9","BIL_INC_ATB","Yes",0.297036928665291,0.276478055994164,0.28266142058594,0.602733911543549,"CPLM"
"137","istB","RCIU","Yes",-1.1214064697303,1.06288615696794,0.291398830716415,0.616829641662485,"CPLM"
"138","Tn916.orf7","BIL_INC_ATB","Yes",0.0948294396335665,0.0937074539043894,0.311550828606859,0.654708263014413,"CPLM"
"139","int2","RCIU","Yes",-0.562121886533523,0.559085118078691,0.31468903421805,0.65654546707363,"CPLM"
"140","Tn916.orf19","BIL_INC_ATB","Yes",0.094780563895921,0.0958356227983187,0.322667568201306,0.668382819845562,"CPLM"
"141","rep20","HTA_PRE_ECLAM","Yes",-3.2156477208447,3.30427269847606,0.330464508364952,0.679678776069759,"CPLM"
"142","Tn916.orf16","BIL_INC_ATB","Yes",0.0949438332524659,0.100214292899311,0.343430863070862,0.686861726141723,"CPLM"
"143","Tn916.orf5","BIL_INC_ATB","Yes",0.0899199656048938,0.0944594416841667,0.341126098102119,0.686861726141723,"CPLM"
"144","Tn916.orf6","OUT_GROUP","D",0.115958813510133,0.121458802441369,0.339720705495362,0.686861726141723,"CPLM"
"145","rep7","OUT_GROUP","C",1.20308115719628,1.26432270778379,0.341319276305656,0.686861726141723,"CPLM"
"146","Tn916.orf19","OUT_GROUP","B",-0.124699981823035,0.132289200089429,0.34586936499197,0.687000793477201,"CPLM"
"147","rep6","PAT_AGE","PAT_AGE",0.131752597713156,0.140503728782437,0.348390367464556,0.687300724930077,"CPLM"
"148","Tn916.orf16","HTA_PRE_ECLAM","Yes",0.191470319501352,0.209795539012488,0.361425593238443,0.708198797561813,"CPLM"
"149","ColRNAI","PAT_AGE","PAT_AGE",0.100346611208759,0.11314642137924,0.375146779730762,0.730151450482692,"CPLM"
"150","Int.Tn916","OUT_GROUP","D",-0.115827216255276,0.132358891370444,0.38151970089724,0.734633158680622,"CPLM"
"151","Tn916.orf8","OUT_GROUP","B",-0.109766820260681,0.126081192406564,0.383970282451055,0.734633158680622,"CPLM"
"152","Tn916.orf8","BIL_INC_ATB","Yes",0.0808293642411119,0.0930537628830899,0.385049103860188,0.734633158680622,"CPLM"
"153","Col156","OUT_GROUP","C",0.599833600436995,0.715190004341081,0.401634740122272,0.737177687566195,"CPLM"
"154","Tn916.orf15","BIL_INC_ATB","Yes",0.0853285682702762,0.099180087498328,0.389601806229961,0.737177687566195,"CPLM"
"155","Tn916.orf17","BIL_INC_ATB","Yes",0.0841135317381067,0.0993222703251765,0.397064887969422,0.737177687566195,"CPLM"
"156","Tn916.orf6","HTA_PRE_ECLAM","Yes",0.172341178943158,0.203430752721971,0.396898322905742,0.737177687566195,"CPLM"
"157","Tn916.orf8","OUT_GROUP","D",-0.107873841789049,0.126025268522529,0.392014405682898,0.737177687566195,"CPLM"
"158","rep9","CERCLAGE","Yes",-0.680323642520191,0.808850564363255,0.400292307905796,0.737177687566195,"CPLM"
"159","ColRNAI","BIL_INC_ATB","Yes",0.205577865738466,0.251683427830245,0.41403627840099,0.75433887385988,"CPLM"
"160","Tn916.orf5","OUT_GROUP","B",-0.105903220214194,0.130253574627622,0.41618696488821,0.75433887385988,"CPLM"
"161","Tn916.orf13","HTA_PRE_ECLAM","Yes",0.165736394476392,0.208594610661271,0.426882157304225,0.759483592749848,"CPLM"
"162","Tn916.orf14","BIL_INC_ATB","Yes",0.0783617980447794,0.0986232661402191,0.426871289481649,0.759483592749848,"CPLM"
"163","Tn916.orf7","OUT_GROUP","B",-0.102197606572033,0.12859158984163,0.426761472365505,0.759483592749848,"CPLM"
"164","ColRNAI","RCIU","Yes",-0.386163950097802,0.501747574791089,0.441514716187781,0.771320889725642,"CPLM"
"165","IncFIB.AP001918.","RCIU","Yes",-0.561741853033979,0.728358872595489,0.440562771878136,0.771320889725642,"CPLM"
"166","Tn916.orf9","OUT_GROUP","D",-0.0974504182505807,0.125182736750949,0.436294748362431,0.771320889725642,"CPLM"
"167","rep6","OUT_GROUP","B",-0.327739297234521,0.437451650857579,0.453735952246092,0.787924707493214,"CPLM"
"168","Tn916.orf6","RCIU","Yes",0.115982886000565,0.156213155168372,0.457805317541138,0.790259179088869,"CPLM"
"169","Xis.Tn916","OUT_GROUP","D",0.087592047862329,0.124238760192354,0.4807915930439,0.818121385017665,"CPLM"
