"feature","variable","level","estimate","std.error","p.value","q.value","method"
"Tn916.orf13","CST","V",0.229948980392673,0.0829287827856179,0.00555679234173239,0.0185778416797182,"CPLM"
"Tn916.orf14","CST","II",0.228549037201979,0.0822104449535415,0.00543507538863206,0.0185778416797182,"CPLM"
"rep19","CST","IV",0.833823534018831,0.300900392784239,0.0055868147080312,0.0185778416797182,"CPLM"
"istB","CST","II",0.428096402768079,0.155006860704792,0.00574854340454059,0.0188880711863476,"CPLM"
"IS91","CST","II",0.309066668597605,0.113038053715146,0.00625353724776875,0.0198774891968403,"CPLM"
"rep8","CST","III",1.03281004110083,0.377828612488618,0.00626573029030835,0.0198774891968403,"CPLM"
"tnpA.IS683","CST","IV",0.957595315255949,0.349972520484614,0.00621529656872893,0.0198774891968403,"CPLM"
"IncFII.29.","CST","IV",1.00739398967183,0.372573805342783,0.00685355167897886,0.0214952302658882,"CPLM"
"Tn916.orf17","CST","V",0.266029733472831,0.0986349725458817,0.00699433890366675,0.0216903094091238,"CPLM"
"rep7","CST","II",0.616252981874922,0.229921406353844,0.00735613318196644,0.0225588084246971,"CPLM"
"intI1","CST","II",0.894288307319457,0.334433960022849,0.00749445003885942,0.0227304198980791,"CPLM"
"Col156","CST","II",1.09567207691363,0.411094325558064,0.00769294799734007,0.0228306843792028,"CPLM"
"IS91","CST","IV",0.215815484306312,0.0809206530544266,0.00765313831162101,0.0228306843792028,"CPLM"
"Tn916.orf5","CST","II",0.280505838555614,0.105987489882737,0.00813069412835225,0.023873101908779,"CPLM"
"ColRNAI","CST","III",0.709164098569016,0.269730375755567,0.00855962793544905,0.0248679716861467,"CPLM"
"Tn916.orf15","CST","II",0.192508993575653,0.0735004572666198,0.00881482247701757,0.0253426146214255,"CPLM"
"istA2","CST","IV",0.741735220198119,0.286299166970105,0.00957615395252483,0.027247613308215,"CPLM"
"IS621","CST","III",0.532518459002726,0.20602243416465,0.00974469226435936,0.0274442353567672,"CPLM"
"rep7","CST","IV",0.431145215660655,0.168920925178839,0.0106999167587981,0.0295317702542827,"CPLM"
"repUS11","CST","III",0.708695130097508,0.277423174205429,0.0106321017926811,0.0295317702542827,"CPLM"
"Tn916.orf19","CST","II",0.287941777774396,0.113179325996232,0.0109553466083956,0.0299373828110613,"CPLM"
"istA2","CST","II",1.05017481994842,0.413849450032733,0.0111622829829674,0.030203824542147,"CPLM"
"tniA","CST","IV",0.585367808482236,0.23140995673806,0.0114202216302842,0.0306017589316352,"CPLM"
"Tn916.orf19","CST","V",0.2946152495806,0.118031725556554,0.0125578416422686,0.0330091837453918,"CPLM"
"tnpA.IS5.","CST","IV",0.85374982812737,0.341834180980604,0.0125052899164062,0.0330091837453918,"CPLM"
"IS621","CST","II",0.735546634072848,0.296806809077997,0.0132047104319701,0.0335293575156983,"CPLM"
"Rep7","CST","IV",1.00510160712017,0.405740554214259,0.0132416665551127,0.0335293575156983,"CPLM"
"Tn916.orf9","CST","V",0.237038019602471,0.09558432720555,0.0131425223813004,0.0335293575156983,"CPLM"
"tnpA4","CST","II",0.773819888066029,0.311561107651666,0.0130030493848325,0.0335293575156983,"CPLM"
"Tn916.orf14","CST","V",0.22595666085361,0.0913672540826939,0.0133961816362286,0.0336122375599917,"CPLM"
"tniB","CST","IV",0.705144237449368,0.286192011463098,0.0137440156246598,0.0341743091207757,"CPLM"
"IncFII","CST","III",0.7248658214282,0.295634980686868,0.0142106268344648,0.0350190446992167,"CPLM"
"Xis.Tn916","CST","V",0.380683255864612,0.15722237194967,0.0154649117982274,0.0377727049231042,"CPLM"
"Col156","CST","III",0.737798094066519,0.305781285257441,0.0158292240617189,0.0379901377481253,"CPLM"
"tnpAB","CST","V",1.24378072257176,0.515085247376563,0.0157478072696324,0.0379901377481253,"CPLM"
"rep9","CST","II",0.641573380656425,0.268534901410999,0.0168868545732078,0.0398356569419261,"CPLM"
"tnpA","CST","III",-0.0388776095776089,0.0162621376450665,0.0168170840558924,0.0398356569419261,"CPLM"
"Tn916.orf16","CST","II",0.166993008278855,0.0701490442186172,0.017287014823214,0.0404340346712463,"CPLM"
"Int.Tn916","CST","V",0.202511948292104,0.0852211816997198,0.017486763500364,0.0405575355134493,"CPLM"
"IncFII.29.","CST","III",0.92085037772002,0.388070755895838,0.0176493762710215,0.0405935654233494,"CPLM"
"rep11","CST","IV",0.739616978808342,0.312353092772892,0.0178899756326418,0.0408068865670176,"CPLM"
"int3","CST","III",0.951377235642257,0.405427553664675,0.0189454638872638,0.0425117726250797,"CPLM"
"rep5","CST","IV",0.562326993968168,0.239333181149469,0.018795757003188,0.0425117726250797,"CPLM"
"Tn916.orf20","CST","II",0.1938526801604,0.0829288120714199,0.0194090792384081,0.0432008537887148,"CPLM"
"tnpA10","CST","III",0.983077034854146,0.421500453713392,0.0196834769543989,0.043245078541137,"CPLM"
"tnpAIS1","CST","III",1.04186989620879,0.44692247595749,0.0197423184644321,0.043245078541137,"CPLM"
"ISSfl3","CST","III",0.737036279197759,0.317182939944098,0.0201418690340877,0.0437728807354977,"CPLM"
"Tn916.orf20","CST","V",0.207321930906005,0.0900295598572908,0.0212889353242818,0.0459042667929826,"CPLM"
"int2","CST","III",0.407031873253657,0.178730885227963,0.0227656365646056,0.0486579692653061,"CPLM"
"istB","CST","V",0.374704715382637,0.164720668848895,0.0229186087119195,0.0486579692653061,"CPLM"
"tnpA7","CST","II",0.845891170962264,0.376026497560072,0.0244773964616852,0.0515706978887414,"CPLM"
"IncFII","CST","II",0.964122576811415,0.430080393224245,0.0249790597734575,0.0522289431626838,"CPLM"
"intI1","CST","III",0.533129552121699,0.238592477737993,0.0254516634049419,0.0524246563480433,"CPLM"
"rep22","CST","II",1.06032200485502,0.474530780480348,0.0254525505457891,0.0524246563480433,"CPLM"
"istA2","CST","III",0.662037817212333,0.296736454593662,0.0256769355203518,0.0524950681749415,"CPLM"
"rep8","CST","IV",0.856054900971122,0.392076728865546,0.0290073847594447,0.0588679278941672,"CPLM"
