feature;variable;level;estimate;std.error;p.value;q.value;method
qacEdelta;Type;SN;-0.341233773;0.562093111;0.543799844;0.886205583;CPLM
tniB;CERCLAGE;Yes;1.384958803;2.201524225;0.529289563;0.886205583;CPLM
tnpAIS1;Type;SN;-0.029004182;0.047961068;0.545348906;0.886205583;CPLM
tnpA1.IS1068;CERCLAGE;Yes;-0.001948929;0.003271259;0.551326698;0.887501514;CPLM
IncFIB.AP001918.;Type;SN;-0.143036417;0.264499346;0.588658029;0.888669854;CPLM
IncFIB.Mar.;CERCLAGE;Yes;-0.004509349;0.007788113;0.562586408;0.888669854;CPLM
Tn916;Type;SN;-0.039508578;0.074711735;0.596934801;0.888669854;CPLM
istA;DIABET_GESTA;Yes;-0.450181337;0.790546573;0.569046853;0.888669854;CPLM
istA2;BIL_INC_ATB;Yes;0.450584914;0.832986268;0.588557775;0.888669854;CPLM
istA2;Type;SN;-0.342937181;0.627942942;0.584978;0.888669854;CPLM
qacEdelta;OUT_GROUP;B;-0.636448824;1.199818295;0.595796957;0.888669854;CPLM
tniA;OUT_GROUP;B;0.87109129;1.579133138;0.581204448;0.888669854;CPLM
tniA;HTA_PRE_ECLAM;Yes;1.05076064;1.925886914;0.585342088;0.888669854;CPLM
tnpA1.IS1068;PAT_AGE;PAT_AGE;0.000359888;0.000628166;0.566699082;0.888669854;CPLM
istA;BIL_INC_ATB;Yes;0.324412919;0.624176046;0.603240715;0.891355683;CPLM
Tn916;OUT_GROUP;D;-0.051664304;0.112745828;0.646782219;0.914190513;CPLM
Xis.Tn916;OUT_GROUP;B;-0.063202932;0.132340508;0.632950502;0.914190513;CPLM
istA;OUT_GROUP;D;0.349183615;0.783006349;0.65563158;0.914190513;CPLM
istA2;RCIU;Yes;-0.937549171;2.015600474;0.641826667;0.914190513;CPLM
plasmid;OUT_GROUP;B;0.033028647;0.073143904;0.651588105;0.914190513;CPLM
tniB;PAT_AGE;PAT_AGE;0.392082771;0.848512769;0.64402227;0.914190513;CPLM
tniB;DIABET_GESTA;Yes;-1.373801746;2.845898129;0.629287124;0.914190513;CPLM
transposase;RCIU;Yes;-0.036086794;0.078246149;0.644658146;0.914190513;CPLM
istA2;IMC;IMC;0.17720584;0.406655814;0.663008187;0.918011336;CPLM
transposase;PAT_AGE;PAT_AGE;-0.007879689;0.0190678;0.679426519;0.934211463;CPLM
IS621;RCIU;Yes;-0.15935869;0.400407789;0.690636832;0.943076502;CPLM
integrase;DIABET_GESTA;Yes;-0.023189207;0.062150171;0.709062297;0.956195799;CPLM
transposase;Type;SN;0.011589103;0.031154638;0.709902941;0.956195799;CPLM
IncFIB.Mar.;DIABET_GESTA;Yes;-0.001350133;0.003777142;0.720756197;0.95640647;CPLM
tnpA1.IS1068;RCIU;Yes;0.000924232;0.002549008;0.716914898;0.95640647;CPLM
tnpA1.IS1068;DIABET_GESTA;Yes;-0.000558946;0.001586184;0.724550356;0.95640647;CPLM
IncFIB.AP001918.;HTA_PRE_ECLAM;Yes;0.225448906;0.669410524;0.736277312;0.962638081;CPLM
tniA;BIL_INC_ATB;Yes;0.342283811;1.027309608;0.738994891;0.962638081;CPLM
IS621;Type;SN;-0.066107923;0.215401842;0.758915609;0.969645424;CPLM
Tn916;RCIU;Yes;-0.044298118;0.148132439;0.76490647;0.969645424;CPLM
insertion_element_IS91;HTA_PRE_ECLAM;Yes;0.119189137;0.394923417;0.762802119;0.969645424;CPLM
integrase;Type;SN;0.010814524;0.034907456;0.756708824;0.969645424;CPLM
transposase;DIABET_GESTA;Yes;-0.01451237;0.049384302;0.768860261;0.969645424;CPLM
qacEdelta;OUT_GROUP;D;-0.312518686;1.092467598;0.774826976;0.970985704;CPLM
tniA;Type;SN;0.165065123;0.61321323;0.787790686;0.981022364;CPLM
insertion_element_IS91;RCIU;Yes;-0.069121585;0.277738072;0.803458805;0.981339456;CPLM
istA;HTA_PRE_ECLAM;Yes;-0.468906281;1.850831588;0.799998556;0.981339456;CPLM
istA2;OUT_GROUP;B;0.323795701;1.249003746;0.795447618;0.981339456;CPLM
tnpAIS1;HTA_PRE_ECLAM;Yes;0.069011643;0.283794946;0.80787036;0.981339456;CPLM
ISBf10;PAT_AGE;PAT_AGE;0.001427029;0.006348716;0.822154769;0.982946988;CPLM
ISBf10;DIABET_GESTA;Yes;0.003274139;0.016113022;0.838980005;0.982946988;CPLM
IncFIB.Mar.;BIL_INC_ATB;Yes;-0.000730423;0.003265304;0.822996805;0.982946988;CPLM
Xis.Tn916;DIABET_GESTA;Yes;-0.023703473;0.10999221;0.829376439;0.982946988;CPLM
istA2;OUT_GROUP;C;0.279012035;1.296877124;0.829657032;0.982946988;CPLM
tniB;OUT_GROUP;C;0.514320441;2.496824103;0.836798834;0.982946988;CPLM
IncFIB.Mar.;OUT_GROUP;D;-0.000557344;0.004166629;0.893589427;0.988439701;CPLM
